countryterritoryCode,GDP18PPP
AFG,1955
AGO,6452
ALB,13364
ARB,17570
ARE,75075
ARG,20611
ARM,10343
ATG,26868
AUS,51663
AUT,55455
AZE,18044
BDI,744
BEL,51408
BEN,2425
BFA,1985
BGD,4372
BGR,21960
BHR,47303
BHS,32088
BIH,14624
BLR,19995
BLZ,8648
BOL,7873
BRA,16096
BRB,18554
BRN,80920
BTN,10168
BWA,18616
CAF,860
CAN,48130
CEB,31214
CHE,68061
CHL,25223
CHN,18237
CIV,4207
CMR,3785
COD,932
COG,5662
COL,15013
COM,2913
CPV,7454
CRI,17671
CSS,16187
CUW,27743
CYP,38513
CZE,39744
DEU,53075
DMA,11130
DNK,55671
DOM,17748
DZA,15482
EAP,16114
EAR,10372
EAS,19330
ECA,21932
ECS,34703
ECU,11734
EGY,12412
EMU,46207
ESP,39715
EST,35974
ETH,2022
EUU,43399
FCS,4665
FIN,48417
FJI,10879
FRA,45342
FSM,3553
GAB,17876
GBR,45974
GEO,12005
GHA,4747
GIN,2505
GMB,2612
GNB,1799
GNQ,22744
GRC,29592
GRD,15558
GTM,8462
GUY,8641
HIC,50631
HKG,64597
HND,5139
HPC,2531
HRV,27580
HTI,1867
HUN,31103
IBD,14750
IBT,12003
IDA,4060
IDB,5614
IDN,13080
IDX,3250
IND,7763
IRL,83203
IRQ,17436
ISL,57303
ISR,39919
ITA,41830
JAM,9327
JOR,9479
JPN,42797
KAZ,27880
KEN,3468
KGZ,3885
KHM,4361
KIR,2294
KNA,30208
KOR,40112
KWT,72898
LAC,16018
LAO,7440
LBN,13081
LBR,1309
LBY,20764
LCA,13881
LCN,16590
LDC,2995
LIC,2288
LKA,13474
LMC,7655
LMY,11794
LSO,3219
LTE,19073
LTU,35461
LUX,113337
LVA,30305
MAC,123892
MAR,8612
MDA,7272
MDG,1891
MDV,15308
MEA,20712
MEX,19845
MHL,3989
MIC,12983
MKD,16359
MLI,2317
MLT,42581
MMR,6674
MNE,20690
MNG,13800
MOZ,1460
MRT,4151
MUS,23751
MWI,1311
MYS,31782
NAC,61303
NAM,11102
NER,1063
NGA,5991
NIC,5534
NLD,56329
NOR,65511
NPL,3090
NRU,16504
NZL,41005
OED,45624
OMN,41860
OSS,27068
PAK,5567
PAN,25554
PER,14418
PHL,8951
PLW,18510
PNG,4336
POL,31337
PRE,3986
PRI,39541
PRT,33415
PRY,13600
PSE,5158
PSS,6331
PST,48705
QAT,126898
ROU,28206
RUS,27588
RWA,2252
SAS,7084
SAU,55336
SDN,4768
SEN,3783
SGP,101532
SLB,2423
SLE,1602
SLV,8332
SRB,17435
SSA,3985
SSF,3988
SST,23837
STP,3419
SUR,15510
SVK,33736
SVN,38049
SWE,53209
SWZ,10638
SYC,30557
TCA,25371
TCD,1968
TEA,16283
TEC,22759
TGO,1774
THA,19051
TJK,3450
TKM,19304
TLA,16511
TLS,7658
TON,6420
TSA,7084
TSS,3988
TTO,32015
TUN,12503
TUR,28069
TUV,4050
TZA,3240
UGA,2038
UKR,9249
UMC,19029
URY,23572
USA,62795
UZB,8556
VCT,12288
VNM,7448
VUT,3221
WLD,17948
WSM,6484
XKX,11348
YEM,2575
ZAF,13687
ZMB,4224
ZWE,3030
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
